message,label
Authentication token: Bearer xyz123,sensitive
My password is abc123,sensitive
Let's grab coffee sometime,normal
My password is abc123,sensitive
Let's grab coffee sometime,normal
Happy birthday! Hope you have a great day,normal
Authentication token: Bearer xyz123,sensitive
Happy birthday! Hope you have a great day,normal
Private medical records attached,sensitive
Thanks for your help yesterday,normal
Looking forward to the weekend,normal
Credit card: 1234-5678-9012-3456,sensitive
Thanks for your help yesterday,normal
Did you see the game last night?,normal
Did you see the game last night?,normal
Did you see the game last night?,normal
My PIN code is 4567,sensitive
Private medical records attached,sensitive
Credit card: 1234-5678-9012-3456,sensitive
Confidential financial report,sensitive
See you at the conference,normal
The weather is beautiful today,normal
Credit card: 1234-5678-9012-3456,sensitive
Credit card: 1234-5678-9012-3456,sensitive
"Hello, how are you doing today?",normal
Private medical records attached,sensitive
Happy birthday! Hope you have a great day,normal
Confidential financial report,sensitive
SSN: 123-45-6789,sensitive
Happy birthday! Hope you have a great day,normal
Confidential financial report,sensitive
Let's grab coffee sometime,normal
Credit card: 1234-5678-9012-3456,sensitive
See you at the conference,normal
SSN: 123-45-6789,sensitive
Thanks for your help yesterday,normal
Let's grab coffee sometime,normal
SSN: 123-45-6789,sensitive
Great presentation this morning,normal
The meeting is scheduled for 3pm,normal
Credit card: 1234-5678-9012-3456,sensitive
The weather is beautiful today,normal
Thanks for your help yesterday,normal
The weather is beautiful today,normal
Did you see the game last night?,normal
SSN: 123-45-6789,sensitive
Great presentation this morning,normal
The meeting is scheduled for 3pm,normal
Did you see the game last night?,normal
Let's grab coffee sometime,normal
Thanks for your help yesterday,normal
Credit card: 1234-5678-9012-3456,sensitive
My PIN code is 4567,sensitive
"Hello, how are you doing today?",normal
API key: sk_live_123456789,sensitive
Looking forward to the weekend,normal
Bank account number: 987654321,sensitive
Did you see the game last night?,normal
"Hello, how are you doing today?",normal
Did you see the game last night?,normal
Happy birthday! Hope you have a great day,normal
API key: sk_live_123456789,sensitive
Confidential financial report,sensitive
Great presentation this morning,normal
The meeting is scheduled for 3pm,normal
The meeting is scheduled for 3pm,normal
SSN: 123-45-6789,sensitive
My PIN code is 4567,sensitive
API key: sk_live_123456789,sensitive
Let's grab coffee sometime,normal
My password is abc123,sensitive
"Hello, how are you doing today?",normal
The weather is beautiful today,normal
The weather is beautiful today,normal
My PIN code is 4567,sensitive
Private medical records attached,sensitive
Secret project documentation,sensitive
Authentication token: Bearer xyz123,sensitive
Thanks for your help yesterday,normal
Authentication token: Bearer xyz123,sensitive
Let's grab coffee sometime,normal
Great presentation this morning,normal
SSN: 123-45-6789,sensitive
My password is abc123,sensitive
API key: sk_live_123456789,sensitive
Let's grab coffee sometime,normal
My PIN code is 4567,sensitive
Credit card: 1234-5678-9012-3456,sensitive
Great presentation this morning,normal
"Hello, how are you doing today?",normal
Bank account number: 987654321,sensitive
Confidential financial report,sensitive
Great presentation this morning,normal
My password is abc123,sensitive
"Hello, how are you doing today?",normal
API key: sk_live_123456789,sensitive
Bank account number: 987654321,sensitive
My password is abc123,sensitive
Authentication token: Bearer xyz123,sensitive
The weather is beautiful today,normal
Secret project documentation,sensitive
"Hello, how are you doing today?",normal
Thanks for your help yesterday,normal
Thanks for your help yesterday,normal
Let's grab coffee sometime,normal
See you at the conference,normal
Looking forward to the weekend,normal
See you at the conference,normal
Confidential financial report,sensitive
Authentication token: Bearer xyz123,sensitive
The meeting is scheduled for 3pm,normal
Secret project documentation,sensitive
SSN: 123-45-6789,sensitive
Private medical records attached,sensitive
Secret project documentation,sensitive
"Hello, how are you doing today?",normal
Looking forward to the weekend,normal
Confidential financial report,sensitive
Confidential financial report,sensitive
Credit card: 1234-5678-9012-3456,sensitive
See you at the conference,normal
Looking forward to the weekend,normal
See you at the conference,normal
Secret project documentation,sensitive
Happy birthday! Hope you have a great day,normal
The weather is beautiful today,normal
Credit card: 1234-5678-9012-3456,sensitive
SSN: 123-45-6789,sensitive
See you at the conference,normal
Confidential financial report,sensitive
Credit card: 1234-5678-9012-3456,sensitive
The weather is beautiful today,normal
My PIN code is 4567,sensitive
See you at the conference,normal
Looking forward to the weekend,normal
Happy birthday! Hope you have a great day,normal
Authentication token: Bearer xyz123,sensitive
Confidential financial report,sensitive
My PIN code is 4567,sensitive
Secret project documentation,sensitive
Thanks for your help yesterday,normal
Looking forward to the weekend,normal
Credit card: 1234-5678-9012-3456,sensitive
The weather is beautiful today,normal
Thanks for your help yesterday,normal
API key: sk_live_123456789,sensitive
Looking forward to the weekend,normal
The meeting is scheduled for 3pm,normal
The weather is beautiful today,normal
Bank account number: 987654321,sensitive
Thanks for your help yesterday,normal
Bank account number: 987654321,sensitive
Confidential financial report,sensitive
"Hello, how are you doing today?",normal
"Hello, how are you doing today?",normal
Did you see the game last night?,normal
Let's grab coffee sometime,normal
The meeting is scheduled for 3pm,normal
Private medical records attached,sensitive
My PIN code is 4567,sensitive
Confidential financial report,sensitive
My PIN code is 4567,sensitive
Private medical records attached,sensitive
Great presentation this morning,normal
Bank account number: 987654321,sensitive
Looking forward to the weekend,normal
Secret project documentation,sensitive
Let's grab coffee sometime,normal
See you at the conference,normal
My PIN code is 4567,sensitive
Did you see the game last night?,normal
Looking forward to the weekend,normal
Let's grab coffee sometime,normal
Thanks for your help yesterday,normal
